date,name,category,value
1979-01-01,Germany 🇩🇪,Europe,77915730
1979-01-01,India 🇮🇳,Asia,681248400
1979-01-01,Indonesia 🇮🇩,Asia,144693090
1979-01-01,Italy 🇮🇹,Europe,56070680
1979-01-01,Japan 🇯🇵,Asia,116765510
1979-01-01,Russia 🇷🇺,Europe,137510300
1979-01-01,United Kingdom 🇬🇧,Europe,56265150
1979-01-01,United States 🇺🇸,Europe,220463100
1980-01-01,Bangladesh 🇧🇩,Asia,83929770
1980-01-01,Brazil 🇧🇷,Americas,122288380
1980-01-01,China 🇨🇳,Asia,982372500
1980-01-01,France 🇫🇷,Europe,53713836
1980-01-01,Germany 🇩🇪,Europe,77786696
1980-01-01,India 🇮🇳,Asia,696828350
1980-01-01,Indonesia 🇮🇩,Asia,148177100
1980-01-01,Italy 🇮🇹,Europe,56329480
1980-01-01,Japan 🇯🇵,Asia,117624200
1980-01-01,Russia 🇷🇺,Europe,138257420
1980-01-01,United Kingdom 🇬🇧,Europe,56326330
1980-01-01,United States 🇺🇸,Europe,223140020
1981-01-01,Bangladesh 🇧🇩,Asia,86154830
1981-01-01,Brazil 🇧🇷,Americas,125168060
1981-01-01,China 🇨🇳,Asia,997259500
1981-01-01,France 🇫🇷,Europe,54016748
1981-01-01,Germany 🇩🇪,Europe,77684490
1981-01-01,India 🇮🇳,Asia,712869300
1981-01-01,Indonesia 🇮🇩,Asia,151686340
1981-01-01,Italy 🇮🇹,Europe,56532908
1981-01-01,Japan 🇯🇵,Asia,118385730
1981-01-01,Russia 🇷🇺,Europe,139002880
1981-01-01,United Kingdom 🇬🇧,Europe,56395850
1981-01-01,United States 🇺🇸,Europe,225654000
1982-01-01,Bangladesh 🇧🇩,Asia,88555340
1982-01-01,Brazil 🇧🇷,Americas,128065100
1982-01-01,China 🇨🇳,Asia,1013483200
1982-01-01,France 🇫🇷,Europe,54319652
1982-01-01,Germany 🇩🇪,Europe,77610424
1982-01-01,India 🇮🇳,Asia,729169500
1982-01-01,Indonesia 🇮🇩,Asia,155228660
1982-01-01,Italy 🇮🇹,Europe,56585840
1982-01-01,Japan 🇯🇵,Asia,119098140
1982-01-01,Russia 🇷🇺,Europe,139848000
1982-01-01,United Kingdom 🇬🇧,Europe,56450132
1982-01-01,United States 🇺🇸,Europe,228001420
1983-01-01,Bangladesh 🇧🇩,Asia,91045480
1983-01-01,Brazil 🇧🇷,Americas,130977380
1983-01-01,China 🇨🇳,Asia,1029226900
1983-01-01,France 🇫🇷,Europe,54592384
1983-01-01,Germany 🇩🇪,Europe,77566060
1983-01-01,India 🇮🇳,Asia,745826560
1983-01-01,Indonesia 🇮🇩,Asia,158790610
1983-01-01,Italy 🇮🇹,Europe,56607516
1983-01-01,Japan 🇯🇵,Asia,119793750
1983-01-01,Russia 🇷🇺,Europe,140854110
1983-01-01,United Kingdom 🇬🇧,Europe,56501616
1983-01-01,United States 🇺🇸,Europe,230389970
1984-01-01,Bangladesh 🇧🇩,Asia,93534250
1984-01-01,Brazil 🇧🇷,Americas,133888776
1984-01-01,China 🇨🇳,Asia,1044172200
